Feature,MAE,RMSE
tair_mean,3.758123031007752,4.374393420992492
tair_max,3.590060112403101,4.178615886753961
tair_min,3.9329301356589146,4.61218351292087
umair_mean,12.746834219141324,14.4237301840782
umair_max,11.982153853948377,13.659874306747087
umair_min,10.898334515503876,12.52396871236548
p_mean,8.078987170542634,8.612259639047526
p_max,7.493983294573643,8.060563638284018
p_min,8.45138062015503,8.978378138164548
dewpoint_mean,1.9151125116279069,2.2534909769833926
dewpoint_max,2.104921593023256,2.428847281007558
dewpoint_min,1.6743648635460147,2.087954693096474
rain_tot,0.007852983647589148,0.06988614876638301
etp_tot,0.10474662272314507,0.1314541110416285
etpxkc_tot,0.0028142239576666663,0.002993495574342364
srad_mean,139.01868069250648,177.4774909632919
srad_tot,139.01867048320412,177.47748518177107
hout,0.33548018281557174,0.36038558844631713
wind_max,169.5881460852713,210.7138837990376
wind_min,129.2278090625692,174.4219898782547
wind_mean,0.36568812562015507,0.5032094969906434
wind_max.1,0.42773299844961243,0.5937111415429072
wind_dir,0.42571298903895843,0.790702660410035
hour,6.960617371317829,7.521633727068091
vwc10_min,1.4413596468992247,1.7378778205757852
vwc10_max,1.4495620648926655,1.750610834693601
vwc10_mean,1.4450534366925065,1.7442295802032342
vwc20_min,18.164178819121446,23.54185110516984
vwc20_max,18.181249891472866,23.561202762104124
vwc20_mean,18.17394967614126,23.552958650921386
vwc30_min,19.339411094961243,25.101979825666724
vwc30_max,19.36164859302325,25.131887795240754
vwc30_mean,19.349608156815247,25.117229004612025
vwc40_min,6.1720418527131775,7.9724094360218585
vwc40_max,6.169127468992248,7.963037266179805
vwc40_mean,6.173253920542636,7.9690658816181195
vwc50_min,11.845829829457365,15.34314686883633
vwc50_max,11.84124403488372,15.34435568564474
vwc50_mean,11.845074699612402,15.346407044513464
vwc60_min,5.160162227390181,6.665044810946222
vwc60_max,5.164491418604651,6.6754083455745254
vwc60_mean,5.16227818992248,6.672177530360541
salinity10_min,1643.7744700506857,2075.7804181714296
salinity10_max,1625.3987186940963,2050.9507312659766
salinity10_mean,1637.5108237328566,2065.049332238952
salinity20_min,1034.942192248062,1380.6331100845364
salinity20_max,1020.962481007752,1361.1223857862176
salinity20_mean,1025.6558531007754,1366.4790105266893
salinity30_min,517.9530001937985,670.7382125572436
salinity30_max,516.9863158914729,669.4509470770263
salinity30_mean,517.4538355297158,670.105300806926
salinity40_min,121.480153875969,156.0954338513785
salinity40_max,121.12459868813357,155.65140619472604
salinity40_mean,121.27920597793677,155.89481010732612
salinity50_min,142.27761782945737,182.21823794315864
salinity50_max,142.2620957364341,181.86599973090534
salinity50_mean,142.244965503876,181.99241664505888
salinity60_min,90.26411240310078,115.13539888874743
salinity60_max,90.4460174418605,115.02272264610166
salinity60_mean,90.3582978036176,115.07414280618714
temp10_min,5.392615744654569,7.410710644963979
temp10_max,6.227228187015504,8.283223185625388
temp10_mean,5.777394682332042,7.8178714553323445
temp20_min,7.050600600452197,10.347696207072136
temp20_max,8.134270839147286,11.540114954264395
temp20_mean,7.572970364987079,10.920473542917408
temp30_min,6.853166065891473,9.95876913407676
temp30_max,7.842955418604651,11.204138332439834
temp30_mean,7.348483195090439,10.58726068810095
temp40_min,2.4604010794573643,3.2500340925525455
temp40_max,2.569655356589147,3.3934413648221815
temp40_mean,2.5124997299741603,3.3202820264931057
temp50_min,1.772659379844962,2.249123832314206
temp50_max,1.8439169883720932,2.3116001387604665
temp50_mean,1.802710260335917,2.2759712227170343
temp60_min,1.8575295968992247,2.119011818281361
temp60_max,1.8362253682170542,2.1024171775433844
temp60_mean,1.8442241382428932,2.109189704711255
